source_table,source_field,grain,source_meaning,kg_class,kg_property,candidate_resource,candidate_term_or_iri,decision,transformation_notes,status
participants.csv,MCQ230*,participant,Raw cancer type code slots,cskg:CancerDiagnosis,cskg:hasCancerTypeCode,NCIt + NHANES codebook,cskg:hasCancerTypeCode,extend/map,Normalized into cancer_diagnoses.csv; map codes to NCIt next,needs codebook mapping
participants.csv,MCQ240*,participant,Raw age-at-diagnosis variables,cskg:CancerDiagnosis,cskg:ageAtDiagnosis,Project ontology / NCIt candidate,cskg:ageAtDiagnosis,extend,Normalized into cancer_diagnoses.csv where possible,ready
participants.csv,PAXSENID,participant-device,Physical activity monitor serial/device identifier,sosa:Sensor,dct:identifier,SOSA/SSN + Dublin Core,sosa:Sensor,reuse,Device identifier attached to participant monitor data,ready
participants.csv,PAXHAND,participant-device,Wrist/hand placement metadata,cskg:DevicePlacement,cskg:hasDevicePlacement,Project ontology,cskg:DevicePlacement,extend,Important applicability constraint for wrist MIMS,ready
participants.csv,PAXORENT,participant-device,Monitor orientation metadata,cskg:DeviceOrientation,cskg:hasDeviceOrientation,Project ontology,cskg:DeviceOrientation,extend,Relevant to accelerometer interpretation,ready
participants.csv,WTMEC2YR,survey-design,MEC exam weight,cskg:SurveyDesignVariable,cskg:hasSurveyWeight,Project ontology,cskg:hasSurveyWeight,extend,Preserve for survey-weighted analyses,ready
participants.csv,SDMVPSU,survey-design,Masked variance PSU,cskg:SurveyDesignVariable,cskg:hasPrimarySamplingUnit,Project ontology,cskg:hasPrimarySamplingUnit,extend,Preserve for NHANES survey design,ready
participants.csv,SDMVSTRA,survey-design,Masked variance stratum,cskg:SurveyDesignVariable,cskg:hasStratum,Project ontology,cskg:hasStratum,extend,Preserve for NHANES survey design,ready
participants.csv,other DEMO/MCQ columns,source-covariate,Preserved raw NHANES covariates,cskg:SourceVariableValue,cskg:hasSourceVariableValue,PROV-O + project ontology,cskg:SourceVariableValue,extend,Do not semantically over-model until selected covariates are approved,defer
cancer_diagnoses.csv,diagnosis_slot,participant-diagnosis,Diagnosis slot from MCQ230 suffix,cskg:CancerDiagnosis,cskg:diagnosisSlot,Project ontology,cskg:diagnosisSlot,extend,A/B/C/D or primary slot provenance,ready
cancer_diagnoses.csv,cancer_type_code,participant-diagnosis,NHANES cancer type code,cskg:CancerDiagnosis,cskg:hasCancerTypeCode,NCIt + NHANES codebook,cskg:hasCancerTypeCode,extend/map,Next step: map NHANES code labels to NCIt concepts,needs codebook mapping
cancer_diagnoses.csv,age_at_diagnosis,participant-diagnosis,Age when participant reported diagnosis,cskg:CancerDiagnosis,cskg:ageAtDiagnosis,Project ontology,cskg:ageAtDiagnosis,extend,Units: years,ready
cancer_diagnoses.csv,source_type_variable,provenance,Original MCQ cancer type variable,prov:Entity,prov:wasDerivedFrom,PROV-O,prov:wasDerivedFrom,reuse,Column-level provenance,ready
cancer_diagnoses.csv,source_age_variable,provenance,Original MCQ age-at-diagnosis variable,prov:Entity,prov:wasDerivedFrom,PROV-O,prov:wasDerivedFrom,reuse,Column-level provenance,ready
pam_days.csv,PAXDAYD,participant-day,Physical activity monitor day number,time:DateTimeInterval,cskg:hasMonitorDayIndex,OWL-Time + project ontology,cskg:hasMonitorDayIndex,extend,Day index within monitor protocol,ready
pam_days.csv,PAXDAYWD,participant-day,Day of week code,time:DayOfWeek,cskg:hasDayOfWeekCode,OWL-Time + codebook mapping,cskg:hasDayOfWeekCode,extend/map,Needs codebook labels,needs codebook mapping
pam_days.csv,PAXTMD,participant-day,Total recorded minutes,qudt:QuantityValue,cskg:totalRecordedMinutes,QUDT/UCUM + project ontology,cskg:totalRecordedMinutes,extend,Unit: minute,ready
pam_days.csv,PAXVMD,participant-day,Valid minutes after quality exclusions,qudt:QuantityValue,cskg:validMinutes,QUDT/UCUM + project ontology,cskg:validMinutes,extend,Unit: minute; validated against PAXMIN,ready
pam_days.csv,PAXMTSD,participant-day,Daily total triaxial MIMS,qudt:QuantityValue,cskg:dailyTotalMIMS,QUDT/UCUM + project ontology,cskg:dailyTotalMIMS,extend,MIMS unit requires project representation,ready
pam_days.csv,PAXWWMD,participant-day,Valid wake wear minutes,qudt:QuantityValue,cskg:wakeWearMinutes,QUDT/UCUM + project ontology,cskg:wakeWearMinutes,extend,Unit: minute; validated against PAXMIN,ready
pam_days.csv,PAXSWMD,participant-day,Valid sleep wear minutes,qudt:QuantityValue,cskg:sleepWearMinutes,QUDT/UCUM + project ontology,cskg:sleepWearMinutes,extend,Unit: minute; validated against PAXMIN,ready
pam_days.csv,PAXNWMD,participant-day,Valid non-wear minutes,qudt:QuantityValue,cskg:nonWearMinutes,QUDT/UCUM + project ontology,cskg:nonWearMinutes,extend,Unit: minute; validated against PAXMIN,ready
pam_days.csv,PAXUMD,participant-day,Valid unknown-status minutes,qudt:QuantityValue,cskg:unknownStatusMinutes,QUDT/UCUM + project ontology,cskg:unknownStatusMinutes,extend,Unit: minute; validated against PAXMIN,ready
pam_days.csv,PAXQFD,participant-day,Daily quality flag score,cskg:QualityFlagScore,cskg:qualityFlagScore,Project ontology,cskg:qualityFlagScore,extend,Validated as sum of minute-level PAXQFM values,ready
pam_minutes.csv,PAXDAYM,participant-minute,Monitor day number for minute row,time:DateTimeInterval,cskg:hasMonitorDayIndex,OWL-Time + project ontology,cskg:hasMonitorDayIndex,extend,Links minute observation to day,ready
pam_minutes.csv,PAXSSNMP,participant-minute,Seconds since midnight or start marker,time:TemporalPosition,time:numericPosition,OWL-Time,time:numericPosition,reuse,Unit/anchor to confirm from NHANES docs,needs documentation confirmation
pam_minutes.csv,PAXTSM,participant-minute,Epoch length,cskg:EpochSpecification,cskg:epochLengthSeconds,OWL-Time/QUDT + project ontology,cskg:epochLengthSeconds,extend,Expected 60 seconds,ready
pam_minutes.csv,PAXMTSM,participant-minute,Minute triaxial MIMS,sosa:Observation,sosa:hasResult,SOSA/SSN + project ontology,sosa:hasResult,reuse/extend,Observation result with project MIMS unit,ready
pam_minutes.csv,PAXMXM,participant-minute,X-axis MIMS,sosa:Observation,sosa:hasResult,SOSA/SSN + project ontology,sosa:hasResult,reuse/extend,Axis-specific result,ready
pam_minutes.csv,PAXMYM,participant-minute,Y-axis MIMS,sosa:Observation,sosa:hasResult,SOSA/SSN + project ontology,sosa:hasResult,reuse/extend,Axis-specific result,ready
pam_minutes.csv,PAXMZM,participant-minute,Z-axis MIMS,sosa:Observation,sosa:hasResult,SOSA/SSN + project ontology,sosa:hasResult,reuse/extend,Axis-specific result,ready
pam_minutes.csv,PAXPREDM,participant-minute,Minute state prediction code,cskg:MinuteWearState,cskg:hasPredictedWearState,Project ontology,cskg:hasPredictedWearState,extend/map,"Values observed: wake, sleep, non-wear, unknown; code labels need final codebook citation",ready
pam_minutes.csv,PAXQFM,participant-minute,Minute quality flag score,cskg:QualityFlagScore,cskg:qualityFlagScore,Project ontology,cskg:qualityFlagScore,extend,Summed to match PAXQFD,ready
pam_minutes.csv,PAXFLGSM,participant-minute,Minute quality flag labels,cskg:QualityFlagLabelSet,cskg:qualityFlagLabels,Project ontology,cskg:qualityFlagLabels,extend,"String labels such as V, P, Q, etc.; needs codebook interpretation",needs codebook mapping
pam_minute_features.csv,minute_rows,participant-day,Minute rows retained for day,qudt:QuantityValue,cskg:minuteRowCount,QUDT/UCUM + project ontology,cskg:minuteRowCount,extend,Validated against PAXTMD,ready
pam_minute_features.csv,valid_minute_rows,participant-day,Non-quality-flagged minute rows,qudt:QuantityValue,cskg:validMinuteRows,QUDT/UCUM + project ontology,cskg:validMinuteRows,extend,Validated against PAXVMD,ready
pam_minute_features.csv,daily_total_valid_mims_from_minutes,participant-day,Sum of non-quality-flagged minute MIMS,cskg:DerivedMovementFeature,cskg:dailyTotalMIMS,PROV-O + project ontology,cskg:dailyTotalMIMS,extend,Validated against PAXMTSD,ready
pam_minute_features.csv,peak_30_valid_mims,participant-day,Highest rolling 30-minute valid MIMS sum,cskg:DerivedMovementFeature,cskg:peak30MIMS,Project ontology,cskg:peak30MIMS,extend,Derived feature; not a clinical classification,ready
pam_minute_features.csv,quality_flag_score_sum,participant-day,Sum of PAXQFM values,cskg:QualityFlagScore,cskg:qualityFlagScore,Project ontology,cskg:qualityFlagScore,extend,Validated against PAXQFD,ready
pam_minute_features.csv,valid_wake_minutes,participant-day,Non-quality-flagged wake minutes,qudt:QuantityValue,cskg:wakeWearMinutes,QUDT/UCUM + project ontology,cskg:wakeWearMinutes,extend,Validated against PAXWWMD,ready
pam_minute_features.csv,valid_sleep_minutes,participant-day,Non-quality-flagged sleep minutes,qudt:QuantityValue,cskg:sleepWearMinutes,QUDT/UCUM + project ontology,cskg:sleepWearMinutes,extend,Validated against PAXSWMD,ready
pam_minute_features.csv,valid_nonwear_minutes,participant-day,Non-quality-flagged non-wear minutes,qudt:QuantityValue,cskg:nonWearMinutes,QUDT/UCUM + project ontology,cskg:nonWearMinutes,extend,Validated against PAXNWMD,ready
pam_minute_features.csv,valid_unknown_minutes,participant-day,Non-quality-flagged unknown-status minutes,qudt:QuantityValue,cskg:unknownStatusMinutes,QUDT/UCUM + project ontology,cskg:unknownStatusMinutes,extend,Validated against PAXUMD,ready
protocol_definitions.csv,protocol_id,protocol,Stable protocol identifier,cskg:ProcessingProtocol,dct:identifier,Dublin Core,dct:identifier,reuse,Used to join definitions and outputs,ready
protocol_definitions.csv,valid_day_expression,protocol,Executable valid-day expression,cskg:ValidDayRule,cskg:hasExecutableExpression,Project ontology,cskg:hasExecutableExpression,extend,Candidate operational rule; needs expert citation,needs expert review
protocol_definitions.csv,min_valid_days,protocol,Minimum number of valid days,cskg:ValidDayRule,cskg:minValidDays,Project ontology,cskg:minValidDays,extend,Unit: day count,ready
valid_day_protocol_results.csv,valid_days,participant-protocol,Number of valid days under protocol,cskg:ProtocolApplicationResult,cskg:validDayCount,Project ontology,cskg:validDayCount,extend,Participant-level result,ready
valid_day_protocol_results.csv,eligible_under_protocol,participant-protocol,Eligibility result under protocol,cskg:ClassificationAssertion,cskg:eligibleUnderProtocol,Project ontology,cskg:eligibleUnderProtocol,extend,"Operational eligibility only, not clinical activity status",ready
valid_day_protocol_results.csv,total_mims,participant-protocol,Total MIMS across retained days under current aggregation,cskg:DerivedMovementFeature,cskg:totalMIMS,Project ontology,cskg:totalMIMS,extend,Interpret together with protocol and valid-day criteria,ready
